currency,regime,month,fx_logret,infl_diff,rate_diff
HKD,anchored,0,-0.0036008227209501304,-0.004571826891088499,-0.00020608612382900441
HKD,anchored,1,0.00020605602432949182,0.001716203237451946,-0.0021488837653213353
HKD,anchored,2,0.0008111541854870407,0.0005760165610071406,0.0004732829160226947
HKD,anchored,3,-0.002555826661043276,-0.0030454042275781133,-0.00019386859980453333
HKD,anchored,4,-0.0019981937840832867,-0.0033815920881646753,0.0011780559269614754
HKD,anchored,5,-0.002093863239461711,-0.003397527959426036,0.0008472355905209185
HKD,anchored,6,-0.0041378371714594535,-0.005184459902266016,0.0003240755782127125
HKD,anchored,7,-0.002018792735786415,-0.0020610156419237683,0.0006315726139225092
HKD,anchored,8,-0.004797361078141476,-0.005155239756858156,-0.0006657364355914981
HKD,anchored,9,-0.0005939321679899574,-0.0025506816049640267,0.0025390483567570036
HKD,anchored,10,0.0004950844405606829,-0.0010700899516647548,0.003090868487721471
HKD,anchored,11,0.00011627870210802101,-0.0010778454992919372,0.0014458436017492768
HKD,anchored,12,0.002125540315999971,0.0024427294593001117,0.00028277557523869725
HKD,anchored,13,0.0006008852993745737,0.00018245935182567178,0.001205162044748208
HKD,anchored,14,-0.0018189237662796375,-0.003521584480884486,0.0013132305673210982
HKD,anchored,15,-0.003952818663691192,-0.00458098058885075,-0.0003189392382508258
HKD,anchored,16,0.0017336662407637926,-0.0002514961042241435,0.0041032725044552855
HKD,anchored,17,-0.0005419443247746943,-0.0027272536331555083,0.0033890000232696333
HKD,anchored,18,0.002810131128783837,0.003591727925236647,-0.0013471561886040677
HKD,anchored,19,-0.002016026432863841,-0.0026158852019367656,-0.0003511558768433429
HKD,anchored,20,-0.0001472628340556272,-0.0015902316396254098,0.003246663639161081
HKD,anchored,21,-0.006055685737348448,-0.00518581557930561,-0.003494785211929051
HKD,anchored,22,-0.0006913971908382795,-0.001166903508582724,0.0015315521427224318
HKD,anchored,23,-0.0044788487617935255,-0.004874217911305778,-0.001025443290267646
HKD,anchored,24,-0.003622666742592062,-0.001939643920507449,-0.0032951330128500045
HKD,anchored,25,-0.004141010314083042,-0.003140689620773015,-0.0033126401997163896
HKD,anchored,26,-0.0017825200655620678,-0.0022133046815019063,-0.0003121457734981757
HKD,anchored,27,-0.0010661378616350827,-0.0021693575956089647,0.0012141759878260508
HKD,anchored,28,-0.002272311095967998,-0.0019553983580172544,-0.0017070429216383064
HKD,anchored,29,0.002546208592973604,0.0036953817227296654,-0.0009574196288468482
HKD,anchored,30,0.0009115339146618699,0.0005765181188942514,0.0010072159000699091
HKD,anchored,31,0.0017692872463901522,0.0035096666597935903,-0.001426790816014536
HKD,anchored,32,-0.0003598337139397637,-0.0015170691152914433,0.0024446185498815066
HKD,anchored,33,-0.001039523817654402,-0.0020767855541232397,0.0008065741074294395
HKD,anchored,34,-0.0021800292470518174,-0.0024572552795909036,-0.0005597049367999985
HKD,anchored,35,-0.0011153292077536122,-0.0011356209500609227,0.0003407249653368722
HKD,anchored,36,0.0021425478751121332,0.00263364748580029,-0.0004373419537408173
HKD,anchored,37,0.00041172874761421076,-9.685968337572426e-05,0.0005821502875467385
HKD,anchored,38,-0.0006247713941831636,0.0007724354554452239,-0.0015736973782436055
HKD,anchored,39,0.00026134089270526126,-8.645443911721261e-05,-8.218995552173833e-05
HKD,anchored,40,-0.00263161006982236,-0.0020680908562869514,-0.0016504043964767955
HKD,anchored,41,0.002065466668529281,0.0022580621920150483,0.0003988719678803205
HKD,anchored,42,-0.0015925161705510865,-0.0017945099888409973,1.3163609637360863e-05
HKD,anchored,43,0.003460198970301075,0.0028015037488205666,0.0023221074392124103
HKD,anchored,44,0.0016320040150617852,0.0014198239852770515,0.0010025601623260124
HKD,anchored,45,0.004088932667065507,0.003378586911719868,0.0027444644245183734
HKD,anchored,46,-0.00449424921534011,-0.0034355199623474024,-0.0023640013944245895
HKD,anchored,47,-0.0004408459902786934,-0.0003114947462007154,-1.778239512132627e-05
HKD,anchored,48,-0.003812181096543579,-0.003873737149261577,-0.0016496278105092939
HKD,anchored,49,0.00038075253348088,0.0012653141265523212,-0.001455015420529788
HKD,anchored,50,-0.0024655691173994586,-0.002506729730773544,0.0003215177541424518
HKD,anchored,51,-0.001423870595651514,-0.0009473109628551303,-0.002183825647490551
HKD,anchored,52,0.003237667571520897,0.0022385046227445934,0.0018561098639092077
HKD,anchored,53,0.0002627998164109979,-9.1191920378237e-05,0.0005079391591976471
HKD,anchored,54,0.004409876694232382,0.004828901202706588,0.0004927240889026896
HKD,anchored,55,-0.00044176723002419774,0.00017495658675071492,-0.0014121324105352488
HKD,anchored,56,0.000845099162516952,0.00013513372090390779,0.0015011695248883562
HKD,anchored,57,0.00039144936081738003,0.0018462354340691872,-0.0023868373977673505
HKD,anchored,58,-0.0009298755652170475,-0.0012726937561187463,-0.0002657579630890218
HKD,anchored,59,-0.0004565482489490121,-0.0011385519153934097,0.0006649194681994982
HKD,anchored,60,0.0011899987992004502,0.0007241466138457359,0.0007522371751146756
HKD,anchored,61,0.0018835518316224502,0.0013885698663744866,0.0013933181251449878
HKD,anchored,62,-0.00011957830472401703,-0.0008702605639665395,0.0014481343134227424
HKD,anchored,63,-0.001630291547604473,-0.0020935443422278478,-9.935908598861495e-05
HKD,anchored,64,0.002219760486738008,0.0029914372937336485,0.0011431162308679877
HKD,anchored,65,0.0007124896892227534,-0.001484234469715987,0.0021508901955703506
HKD,anchored,66,0.001462468657144137,0.0016588139968333462,-4.485567489107376e-05
HKD,anchored,67,-0.0009145129548164541,-0.000902943674034489,-0.0006652749832521246
HKD,anchored,68,0.0015588817795567271,0.0020838010197121804,0.00026105500440257943
HKD,anchored,69,-0.0007030251916593255,-0.0013204445178973472,0.0006241586259543856
HKD,anchored,70,-0.0019494140042231785,-0.0017749122443729102,-0.0016726593129658403
HKD,anchored,71,0.00042618556584004977,0.0029967816461369833,-0.003649566081376606
HKD,anchored,72,-0.003505340539192367,-0.0017566551833848442,-0.004567360889550945
HKD,anchored,73,0.001494908769791191,0.002359937948217059,-0.0001425345236968778
HKD,anchored,74,0.0007014831623714192,0.0006858329673398575,0.0007439133692608259
HKD,anchored,75,-0.004798354029472518,-0.006358111751411857,-6.416362833851681e-05
HKD,anchored,76,-0.0028581916300971563,-0.0028659322647126484,-0.0006399118445244946
HKD,anchored,77,-1.9764533675766864e-05,0.0009397169354850686,-0.001309402343806168
HKD,anchored,78,0.0012904204519883116,0.0001951787799635669,0.0025223403484660426
HKD,anchored,79,0.0034959352718224143,0.0032640336346218143,0.0017856463122965626
HKD,anchored,80,0.002390558002487398,0.00011471215229906614,0.0055494889717565945
HKD,anchored,81,-0.0034053693532431874,-0.003136585250074526,-0.0013165400435350008
HKD,anchored,82,0.0008793731703178093,0.002331045771165537,-0.0012891786799112037
HKD,anchored,83,-0.004883159934735328,-0.003963136057948703,-0.00307173436818652
HKD,anchored,84,3.712939344020269e-05,0.0010533150745768275,-0.0014649368305402002
HKD,anchored,85,0.0003020339648315772,0.0020695593895430136,-0.0023886619414575853
HKD,anchored,86,0.0015689801588993015,0.003763512861624067,-0.0025614526789457946
HKD,anchored,87,-0.004747871434068402,-0.004657410913588688,-0.0014703329844814707
HKD,anchored,88,-0.0017167861513422886,0.0011801437414488496,-0.005040600109501386
HKD,anchored,89,0.0006074071613392995,0.0010448642707149578,-0.0009016432943139924
HKD,anchored,90,-0.0012411848837528823,-0.0019762806033554333,0.0008275750372964756
HKD,anchored,91,0.0009324830536503509,-0.00047183088777253963,0.0020468371487112743
HKD,anchored,92,0.00545171083371592,0.0054733097077747424,0.0026073680758819454
HKD,anchored,93,0.002930419389685232,0.004758895507887518,-0.002187800062573461
HKD,anchored,94,0.003766282190173991,0.003983898930383915,0.0010413006563222654
HKD,anchored,95,-0.001901023150717194,-0.0029978887507092202,0.0012598642359931125
HKD,anchored,96,0.0024976353141818093,0.003333249288509924,0.0005403724595220482
HKD,anchored,97,-0.0014375291752913918,-0.0020648211047671716,-0.0006191865076663429
HKD,anchored,98,0.0011599768600789883,0.003235254051798109,-0.0031998857184450183
HKD,anchored,99,-0.002563908384899397,-0.0027256945399875324,-0.0013073427057149476
HKD,anchored,100,0.0003137676579961137,0.00011519017955171171,2.7798327383201763e-05
HKD,anchored,101,-0.001199304288900859,-0.002465188233722923,0.0013431181209990508
HKD,anchored,102,0.003278002161648928,0.001979759812214753,0.0034028578825797944
HKD,anchored,103,0.0056019663790270345,0.006564845506250779,0.0008776590828228764
HKD,anchored,104,0.0023813377081721514,0.0035976593934551756,-0.001010872233823744
